"","term","best","auc","anova_p_value","is_sig","is_best","tsm_C","tsm_P","p_adj_overall","is_sig_overall"
"HP:0000002","Abnormality of body height","UCEC",0.688440548357458,8.99374219113757e-90,TRUE,TRUE,0.440060504967431,1.00158982992786e-32,8.11955488794852e-30,TRUE
"HP:0000003","Multicystic kidney dysplasia","UCEC",0.661574109082448,7.04561062346354e-05,TRUE,TRUE,0.175694639274683,0.00260747189982085,0.00806057016822892,TRUE
"HP:0000008","Abnormality of female internal genitalia","UCEC",0.688757322521231,6.00161537744401e-39,TRUE,TRUE,0.362660471578977,6.0672204158049e-16,4.2907696433324e-14,TRUE
"HP:0000009","Functional abnormality of the bladder","STAD",0.711645348230714,5.00675895943657e-19,TRUE,TRUE,0.238958747112897,1.32729939074651e-06,1.32119577816694e-05,TRUE
"HP:0000010","Recurrent urinary tract infections","DLBC",0.659599847353188,0.000519958064048594,FALSE,FALSE,0.140606482433497,0.0791599260069933,0.137790962697608,FALSE
"HP:0000014","Abnormality of the bladder","STAD",0.713385433522307,1.91197457483922e-22,TRUE,TRUE,0.253394520801754,7.91543161014888e-08,1.11202161157214e-06,TRUE
"HP:0000020","Urinary incontinence","THYM",0.686311648987426,0.00134106065366558,FALSE,FALSE,-0.326384434475201,0.187358647570956,0.280212236285145,FALSE
"HP:0000023","Inguinal hernia","COAD",0.736700154987902,4.72656421282663e-20,TRUE,FALSE,0.1721597774624,0.000118867231738486,0.000612396367727899,TRUE
"HP:0000025","Functional abnormality of male internal genitalia","UCEC",0.604278796187747,0.0299763204991893,FALSE,TRUE,0.124070083084961,0.0703401385337236,0.124937511338647,FALSE
"HP:0000027","Azoospermia","KICH",0.619078944059692,0.0369736816972005,FALSE,FALSE,-0.422993227430841,0.0336063520734241,0.0675739133878192,FALSE
"HP:0000028","Cryptorchidism","UCEC",0.680083424420854,1.98683032152671e-41,TRUE,TRUE,0.305960353288458,1.20958129223111e-13,5.74770912737438e-12,TRUE
"HP:0000032","Abnormality of male external genitalia","UCEC",0.674856459041393,1.80621994780748e-61,TRUE,TRUE,0.373799650510567,2.31825598161106e-22,4.41234668917417e-20,TRUE
"HP:0000035","Abnormality of the testis","UCEC",0.671009533236665,1.14274425318325e-52,TRUE,TRUE,0.376229004514695,6.96132930672266e-21,1.0618088910491e-18,TRUE
"HP:0000036","Abnormality of the penis","UCEC",0.677285438984544,1.11938181168001e-42,TRUE,TRUE,0.373860275248923,7.86399996970425e-18,7.50243350232037e-16,TRUE
"HP:0000044","Hypogonadotrophic hypogonadism","STAD",0.699219831383072,6.18222841588963e-09,TRUE,TRUE,0.331532924900306,7.07569847137685e-06,5.59815247213072e-05,TRUE
"HP:0000045","Abnormality of the scrotum","STAD",0.733385154640422,1.94793976676839e-13,TRUE,TRUE,0.38633035763848,6.64351937103817e-08,9.51346758215789e-07,TRUE
"HP:0000046","Scrotal hypoplasia","STAD",0.694734559255421,0.000129393264757279,TRUE,TRUE,0.271156734967828,0.00203550900936266,0.00655821317390593,TRUE
"HP:0000047","Hypospadias","STAD",0.684260221749896,4.39517659717746e-18,TRUE,TRUE,0.280690895959143,1.75744360200968e-07,2.2436235381037e-06,TRUE
"HP:0000050","Hypoplastic male external genitalia","UCEC",0.670267659080001,5.58724802787873e-25,TRUE,TRUE,0.249304786171582,1.64027410759719e-09,3.44221665072745e-08,TRUE
"HP:0000054","Micropenis","STAD",0.684550640095448,1.1800226565315e-13,TRUE,TRUE,0.326913755697367,1.47790944366128e-07,1.92894942771963e-06,TRUE
"HP:0000055","Abnormality of female external genitalia","STAD",0.690872638554025,4.57915911981623e-09,TRUE,FALSE,0.206042600799001,0.00227206086542619,0.00718965855464051,TRUE
"HP:0000056","Abnormality of the clitoris","STAD",0.654918495024519,0.000723575169233292,TRUE,TRUE,0.258913654371922,0.00144100282578172,0.00491325957640162,TRUE
"HP:0000058","Abnormality of the labia","STAD",0.711315257347043,3.64469602955572e-06,TRUE,TRUE,0.339888065668016,1.15784304455423e-05,8.54833491794911e-05,TRUE
"HP:0000062","Ambiguous genitalia","UCEC",0.631799219529374,0.000467479662140077,FALSE,FALSE,0.121528888741128,0.125191607928901,0.201403396740126,FALSE
"HP:0000069","Abnormality of the ureter","STAD",0.704114884447885,9.01518579501938e-19,TRUE,TRUE,0.257612737562132,2.36798468526777e-08,3.79154709518222e-07,TRUE
"HP:0000072","Hydroureter","COAD",0.695493269100361,0.00589246419637871,TRUE,TRUE,0.180721520347024,0.00138212370726761,0.00474093773776422,TRUE
"HP:0000076","Vesicoureteral reflux","STAD",0.746578855276577,7.65008021744989e-14,TRUE,TRUE,0.234895080396011,6.26177034102754e-05,0.000357013881803623,TRUE
"HP:0000077","Abnormality of the kidney","UCEC",0.666383338039612,2.8023330015392e-57,TRUE,TRUE,0.365189535187781,2.59683254105442e-25,7.73326131409511e-23,TRUE
"HP:0000078","Abnormality of the genital system","UCEC",0.665749838854412,2.12074090104216e-71,TRUE,TRUE,0.368778546574548,1.8861339733999e-27,8.0162525067528e-25,TRUE
"HP:0000079","Abnormality of the urinary system","UCEC",0.655859996458266,5.68707956704875e-70,TRUE,TRUE,0.336715620022409,2.23928271823698e-26,7.84214722188337e-24,TRUE
"HP:0000080","Abnormality of reproductive system physiology","COAD",0.636654695343434,5.67104356046738e-13,TRUE,TRUE,0.191270883359466,5.04205230829604e-07,5.65081622754653e-06,TRUE
"HP:0000083","Renal insufficiency","UCEC",0.650630676372598,1.49202874746454e-09,TRUE,TRUE,0.198559891653633,1.85460043063673e-06,1.76378423748758e-05,TRUE
"HP:0000086","Ectopic kidney","STAD",0.747290765212559,1.10018656565971e-08,TRUE,TRUE,0.383015002347819,3.05150192578605e-06,2.69414199464855e-05,TRUE
"HP:0000089","Renal hypoplasia","STAD",0.752065625714416,1.11813797720382e-12,TRUE,TRUE,0.339526232145444,2.4347558264998e-06,2.22327640927942e-05,TRUE
"HP:0000091","Abnormality of the renal tubule","UCS",0.693212903361051,0.00278372925921643,TRUE,TRUE,0.126898921621523,0.0027254863962903,0.00835290496500579,TRUE
"HP:0000093","Proteinuria","UCS",0.637661400186775,6.24226543708481e-05,TRUE,TRUE,0.108057820122931,0.00367520854452203,0.0107357486484049,TRUE
"HP:0000095","Abnormality of renal glomerulus morphology","LAML",0.659544044095226,0.00578922171305351,TRUE,TRUE,0.0618162124919997,0.00465217140580308,0.0130005397676627,TRUE
"HP:0000098","Tall stature","UCEC",0.762472663023034,2.0047710368921e-22,TRUE,TRUE,0.433049755534132,1.16444610702744e-11,3.87641009743219e-10,TRUE
"HP:0000100","Nephrotic syndrome","LAML",0.636005047370122,0.0523517752238748,TRUE,TRUE,0.0626911076195443,0.00374773487358229,0.0109090259874951,TRUE
"HP:0000104","Renal agenesis","UCEC",0.686735623680985,1.67118361606846e-07,TRUE,FALSE,0.193968548507492,0.000408062905834448,0.00171499248903694,TRUE
"HP:0000107","Renal cyst","UCEC",0.693668807694604,4.76386474548875e-16,TRUE,TRUE,0.257752999520784,6.52477572523677e-08,9.35873467064105e-07,TRUE
"HP:0000112","Nephropathy","ACC",0.644331808953037,0.0490149017201894,TRUE,TRUE,0.13743165845025,0.0160285306596971,0.0361273276778344,TRUE
"HP:0000118","Phenotypic abnormality","UCEC",0.665782589231793,9.71261039896926e-210,TRUE,TRUE,0.425179261840559,4.58768228113006e-78,2.00830379538749e-73,TRUE
"HP:0000119","Abnormality of the genitourinary system","UCEC",0.657870916717205,1.37198930680016e-92,TRUE,TRUE,0.370006742309869,9.20747257920292e-37,1.61226527850875e-33,TRUE
"HP:0000121","Nephrocalcinosis","UVM",0.657185145491317,0.00546251026436625,TRUE,TRUE,0.0812147634720026,3.7672945058307e-05,0.000232638008586888,TRUE
"HP:0000124","Renal tubular dysfunction","UCEC",0.630433279302464,0.0630187622466196,TRUE,TRUE,0.17758765318422,0.0147551904278679,0.033724388668634,TRUE
"HP:0000126","Hydronephrosis","STAD",0.712522925969346,1.74846363860451e-15,TRUE,TRUE,0.360239999751523,1.631649872788e-08,2.72518522820174e-07,TRUE
"HP:0000130","Abnormality of the uterus","STAD",0.69631004384844,7.29087568221347e-18,TRUE,TRUE,0.356275450131554,5.81055060004808e-09,1.07826478621325e-07,TRUE
"HP:0000135","Hypogonadism","COAD",0.651831004436688,9.23857933401352e-13,TRUE,TRUE,0.242926366385379,6.47708001419364e-08,9.29946391280225e-07,TRUE
"HP:0000137","Abnormality of the ovary","DLBC",0.666742169159081,7.8581214511423e-10,TRUE,TRUE,0.245117103438873,1.36993702034223e-07,1.80361993992485e-06,TRUE
"HP:0000138","Ovarian cyst","DLBC",0.666888908978571,0.000906209275498683,TRUE,TRUE,0.255746042809405,0.00064511220921435,0.00252101696755645,TRUE
"HP:0000140","Abnormality of the menstrual cycle","STAD",0.654873500993463,1.46766845790316e-08,TRUE,TRUE,0.216064787569262,0.000455485705725867,0.00187965141910403,TRUE
"HP:0000141","Amenorrhea","STAD",0.671545851696398,9.21546113877907e-09,TRUE,TRUE,0.287010567099096,2.94541498203225e-05,0.000189253612583948,TRUE
"HP:0000142","Abnormality of the vagina","STAD",0.712759573262296,4.84843465356203e-08,TRUE,FALSE,0.200359355252823,0.0130318325578145,0.030352833309438,TRUE
"HP:0000144","Decreased fertility","STAD",0.630763927192479,2.10982087816868e-05,TRUE,TRUE,0.180271636914049,0.00671755034377246,0.0175461576317071,TRUE
"HP:0000147","Polycystic ovaries","DLBC",0.67942526583556,0.000813481731272339,TRUE,TRUE,0.261774387057411,0.000556361796701006,0.00222483730815596,TRUE
"HP:0000152","Abnormality of head or neck","UCEC",0.675992169190624,1.94278575993877e-158,TRUE,TRUE,0.375057900925303,2.7192522024617e-47,1.19037984414963e-43,TRUE
"HP:0000153","Abnormality of the mouth","UCEC",0.684158457922824,9.10189486924168e-116,TRUE,TRUE,0.375778058955844,6.42149161338549e-36,8.78460052711135e-33,TRUE
"HP:0000154","Wide mouth","UCEC",0.733970967073653,1.2506193394726e-14,TRUE,TRUE,0.333000995234981,2.53401967602157e-08,4.0293950358707e-07,TRUE
"HP:0000157","Abnormality of the tongue","UCEC",0.676931548069157,3.64280569055898e-21,TRUE,TRUE,0.351100019676185,1.001935774573e-11,3.39479415384734e-10,TRUE
"HP:0000158","Macroglossia","STAD",0.699369781872459,2.8094014760878e-10,TRUE,TRUE,0.342316416224709,3.81070427420958e-06,3.26325098411186e-05,TRUE
"HP:0000159","Abnormality of the lip","STAD",0.701309029523031,7.30075146990959e-62,TRUE,TRUE,0.338393611728831,2.87738147045136e-19,3.51844277235974e-17,TRUE
"HP:0000160","Narrow mouth","STAD",0.753252076446237,1.58155561698678e-21,TRUE,TRUE,0.337809518083491,9.02630687491119e-08,1.24569864361952e-06,TRUE
"HP:0000163","Abnormality of the oral cavity","UCEC",0.677217286147984,2.58985279272657e-93,TRUE,TRUE,0.349713296538209,3.98328280848278e-29,2.15274306449558e-26,TRUE
"HP:0000164","Abnormality of the dentition","STAD",0.704680050327261,4.74580755310087e-59,TRUE,TRUE,0.319877147100023,3.31157977167331e-18,3.38709617020492e-16,TRUE
"HP:0000168","Abnormality of the gingiva","UCS",0.70735936408102,1.54108251350272e-10,TRUE,FALSE,0.158961669909812,0.00256510742564839,0.00795404869528746,TRUE
"HP:0000172","Abnormality of the uvula","COAD",0.684509903039375,3.09589740069401e-06,TRUE,FALSE,0.16237679672229,0.00216967298421945,0.0069262455011442,TRUE
"HP:0000174","Abnormality of the palate","UCEC",0.694401403988224,5.19647730480322e-71,TRUE,TRUE,0.360670333673676,7.12837787426032e-21,1.08351343688757e-18,TRUE
"HP:0000175","Cleft palate","STAD",0.673520907245303,1.57460382722055e-27,TRUE,FALSE,0.244345945153606,1.15331458763337e-07,1.55059887556015e-06,TRUE
"HP:0000177","Abnormality of upper lip","STAD",0.718463572824465,1.00067584634435e-56,TRUE,TRUE,0.346274094465274,1.42846716742809e-17,1.32204183343197e-15,TRUE
"HP:0000178","Abnormality of lower lip","ACC",0.699505372493851,3.29776209455789e-10,TRUE,FALSE,0.147659812155453,0.000146233928588889,0.000728451147557927,TRUE
"HP:0000179","Thick lower lip vermilion","CESC",0.70729183295656,3.69334383738079e-06,TRUE,FALSE,0.225037758837776,0.000994217968989829,0.00360497687488601,TRUE
"HP:0000189","Narrow palate","UCEC",0.75376654291116,9.61012997761339e-20,TRUE,TRUE,0.354692490835084,4.48500262428105e-09,8.52150498613399e-08,TRUE
"HP:0000193","Bifid uvula","COAD",0.691771743561113,1.0263006745621e-05,TRUE,FALSE,0.158373137747425,0.00618862576857114,0.0164110299033784,TRUE
"HP:0000194","Open mouth","UCEC",0.778668989639869,5.2171019805608e-10,TRUE,TRUE,0.256304128790638,1.58824675872749e-06,1.54607716500011e-05,TRUE
"HP:0000202","Oral cleft","STAD",0.674194883264933,3.99086087143158e-30,TRUE,FALSE,0.255619750967354,1.44266259499917e-08,2.43555718313474e-07,TRUE
"HP:0000204","Cleft upper lip","STAD",0.704948882509319,2.28735730185172e-12,TRUE,TRUE,0.299354760549525,4.20252686400005e-06,3.55978746127063e-05,TRUE
"HP:0000212","Gingival overgrowth","UCS",0.737404944890264,5.68857746011455e-08,TRUE,FALSE,0.129209571074725,0.0059771071426173,0.0159311886431573,TRUE
"HP:0000217","Xerostomia","DLBC",0.701752940467791,1.17464964893561e-05,TRUE,TRUE,0.377938514461381,4.08154747095952e-09,7.83657114424227e-08,TRUE
"HP:0000218","High palate","UCEC",0.71616607292444,2.92217886440938e-54,TRUE,TRUE,0.449621740768134,2.21077640804301e-20,3.09197917055881e-18,TRUE
"HP:0000219","Thin upper lip vermilion","UCEC",0.731921616413443,5.01112455303067e-16,TRUE,TRUE,0.264210083208754,1.55920483026896e-07,2.01701390809261e-06,TRUE
